storm, location, fips, sust_wind_kt, gust_wind_kt, highest
"Ida-2009", "Pascagoula, MS", "28059", NA, 39, FALSE
"Ida-2009", "Gulfport, MS", "28047", 37, 45, FALSE
"Ida-2009", "Gulfport, MS", "28047", 34, 46, FALSE
"Ida-2009", "Bay Waveland Yacht Club, MS", "28045", 38, 48, FALSE
"Ida-2009", "Petit Bois Island, MS", "28059",  40, 51, FALSE
"Ida-2009", "Jackson County, MS", "28059", 33, 41, FALSE
"Ida-2009", "Gulf Shores, AL", "01003", NA, 38, FALSE
"Ida-2009", "Mobile, AL", "01097", NA, 41, FALSE
"Ida-2009", "Dauphin Island, AL", "01097", NA, 42, FALSE
"Ida-2009", "Fort Morgan, AL", "01003", 40, 46, FALSE
"Ida-2009", "Destin, FL", "12091", NA, 40, FALSE
"Ida-2009", "Pensacola, FL", "12033", NA, 38, FALSE
"Ida-2009", "Pensacola, FL", "12033", NA, 37, FALSE
"Ida-2009", "Sand Key, FL", "12103", 40, NA, FALSE
"Ida-2009", "Tyndall AFB, FL", "12005", 41, 50, FALSE
"Ida-2009", "Apalachicola, FL", "12037", NA, 38, FALSE
